time,lyrics
0,
1234,울려라 팡파레
3880,닿아라 골까지
6351,빛나는 미래를 너와 보고 싶으니까
12654,
23167,달려나가면 분명 시작되는 story
28684,언제라도 가까이에 있으니까
32784,
33867,손을 뻗으면 더 붙잡을 수 있는 glory
39400,1등을 목표로 let's challenge
42920,가속해 나가자
46287,
47120,승리의 여신도 열중하게 만들 거야
52281,특별한 내일로 이어지는
57100,Make debut!
59370,
59830,울려라 팡파레
62550,닿아라 골까지
65070,빛나는 미래를 너와 보고 싶으니까
70630,달려 나가자 너만의 길을
75970,좀 더 빨리
78800,I believe
80250,꿈의 끝까지
83583,
86580,울려라 팡파레
89130,닿아라 골까지
91630,빛나는 미래를 너와 보고 싶으니까
97236,달려 나가자 너만의 길을
102530,"달려, 달려, 누구보다 빠르게"
108500,언젠가 웃을 수 있어
111130,최고만을 목표로 나아가자
122300,
132201,I believe
133520,꿈의 끝까지
136750,
