time,lyrics
0,
16470,(제자리에 서서 준비 땅!)
21100,
21101,우~~~~ (우마닷치)
23480,우~~~ (우마뾰이 우마뾰이)
26670,우~~(스키닷치)
28070,우~~ (우마뽀이)
29480,우마우마 우먀우냐 3 2 1 Fight!!
32399,
32400,해님 따그닥 쾌청 레이스 (넵)
33720,종종걸음 태연하게 (소 왓 So What)
35130,제1 제2 제3 4 5 (점점점점 나갈 차례가 다가와)
37950,눈이 번쩍번쩍 출전입니다~ (넵!)
39370,오늘도 뒤죽박죽 엉망진창이다 (차~!)
40950,진심의 라스트 스퍼트 (당분 제한)
42180,밥 먹고 싶어~ (하지만 살 빼고 싶어~!)
43600,저 애는 (와플) 그 애는 (베이글)
45020,이 녀석도 저 녀석도 어머머 (리바운드)
46480,울지 마 (넵) 닦지 마 (오잇)
47830,빨간약 발라도(낫지 않아) (뭐~어?)
49379,
49380,오늘 승리의 여신은 나에게만 입맞춤해
54630,무지개 저편으로 가자
57720,바람을 가르고 대지를 박차
60420,너의 안에 빛을 밝힐 거야
63200,(두~근두근두근두근두근두근두근두근)
66369,
66370,너의 애마가!
67750,즈큥도큥 뛰쳐나가~(후후~)
70520,바큥부큥 달~려~나~갈~게~
73350,이런~ 레이스는~ 처~음이야~ (3 2 1 Fight!!)
78980,즈큥도큥 가슴이 울려(후후~)
81900,바큥부큥 정~말~좋~아~해~
84780,오늘도~ 연주하~는~
87370,해피해피 달링 3 2 1 Go Fight
90180,우피우피 허니 3 2 1 (우~~ Fight!!）
93099,
93100,우~~~~ (우마닷치)
95950,우~~~ (우마뾰이 우마뾰이)
98750,우~~ (스키닷치) 우~~ (우마뽀이)
101480,우마우마 우먀우냐
103000,
103001,너의 애마가!
104430,즈큥도큥 뛰쳐나가~(후후~)
107270,바큥부큥 달~려~나~갈~게~
110180,이런~ 마음은~ 처~음이야~ (3 2 1 Fight!!)
115780,즈큥도큥 가슴이 울려(후후~)
118650,바큥부큥 정~말~좋~아~해~
121380,오늘도~ 연주하~는~
124070,해피해피 달링 3 2 1 Go Fight
126900,우피우피 허니 3 2 1 (우~~ Fight!!）
131520,
