time,lyrics
0,
19220,빛의 속도로 달려 나가는 충동은
24180,무엇을 희생하더라도 이루고 싶은 강함의 각오
28969,
28970,(no fear) 한 번뿐인
31450,(trust you) 이 순간에
34080,걸어봐 자신을 믿고
38730,
39030,때로는 운 또한 필요하다면
43720,숙명의 선율도 끌어와 보이겠어
50420,
53200,달려라 지금을 아직 끝낼 수 없어
56380,다다르고 싶은 곳이 있으니까
60100,그 앞을 향해 나아가
63020,눈물조차도 강하게 가슴에 끌어안고
69020,거기서부터 시작하는 스토리
74220,끝없이 계속 되는
76220,winning the soul
80550,
89870,붙잡아 지금을 바꾸고 싶다면
93100,그려온 꿈을 미래에 내걸고
96730,두려워말고 도전해
100049,
100050,달려라 지금을 아직 끝낼 수 없어
103220,다다르고 싶은 곳이 있으니까
106830,그 앞을 향해 나아가
109680,눈물조차도 강하게 가슴에 끌어안고
115800,거기서부터 시작하는 스토리
120900,끝없이 계속 되는
123100,winning the soul
127664,
