time,lyrics
0,
14667,Light up! 미래를 향해 반짝여라 일루미네이션
21000,"자, 남은 장식은 미소뿐"
26133,Let's party all night!
28266,
28267,(Happy together)
31467,(Happy together)
33867,(Oh yeah! I wish a Merry Christmas!)
41066 ,
41067,밤하늘의 별들에도 지지 않을
46917,순간을 만들어 보자 Are you ready?
53217,조금씩 아이디어를 이어서 밀키웨이
59867,Yes! 본 적 없는 경치가 나타날 듯해
66266,
66267,Ding dong 올해를 수놓듯 피어나
72167,Ding dong 꿈의 [점등]<라이트>을 팡파르 삼아
77067,시작하자 Shiny time!
80800,
81867,Light up! 미래를 향해 반짝여라 일루미네이션
88683,온 세상을 드레스업 Colorful wonderland
94500,Enjoy! 가랑눈이 건네주는 소중한 Greeting
101333,"자, 계속해서 달리자 앞으로"
105833,Let's party all night!
109167,
113867,Light up! 미래를 향해 반짝여라 일루미네이션
120433,온 세상을 드레스업 Colorful wonderland
126617,Enjoy! 소복이 쌓이는 기적은 축복의 Fragment
133083,"자, 계속해서 달리자 너와"
138133,Let's party all night!
141333,Let's party all night!
144300,
