time,lyrics
0,
14580,day by day 동경하며
17050,step by step 쌓아왔던
19930,너와 엮어갈 미래
24253,one by one 뛰어넘어
26920,by and by 끌어당긴
29472,단 한 번의 무대(스테이지)
33769,
33770,흩날리는 꽃잎을 데리고서
37470,지금 날개짓 하자
39420,시공을 날아 차원마저 넘어서
43594,하늘이 떨어져 내리는 fragrance
46150,신님마저 현혹 시키고 싶어
48900,이대로 놓지 않아 양보할 수 없어 넘기지 않아
55260,
56030,두근거림은 좀 더 phantasia
58620,손을 뻗어서 붙잡자
61230,콩닥이는 고동이 이렇게나 괴로운걸요
66170,드디어 만난 이 순간
68461,솔직하게 고마워
70917,계속해서 기다려왔던
73330,나는 flowering phantasia
78591,
78592,괜찮겠죠 이대로
83197,온 세상을 적으로 돌려도
88109,괜찮겠죠 괜찮겠죠 괜찮겠죠 이대로
93070,놓지 않아 양보할 수 없어 놓치지 않아 넘기지 않아
99468,
100082,두근거림은 좀 더 phantasia
102845,손을 뻗어 붙잡자
105570,콩닥이는 충동이 이렇게나 사랑스러운걸요
110400,드디어 만난 이 순간
112669,솔직하게 고마워
115432,계속해서 기다려왔던
117720,나는 색채 phantasia
124180,
124949,고마워
128939,
