time,lyrics
0,
16700,으쌰~!!
17449,
17450,"Speed, Power, Stamina"
18867,"Speed, Power, Stamina"
20500,"Speed, Power, Stamina"
22150,근성 지능
23766,
23767,"Speed, Power, Stamina"
25383,"Speed, Power, Stamina"
27000,"Speed, Power, Stamina"
28517,근성 지능
30249,
30250,Hey! 더 빨라지기 위해서는 Very hard
33517,Boo… 쉬는 것도 중요하다구? (어쩌라구…)
36900,"자, 푹 쉬는 Week? or 푸시업 Week?"
39583,그럼! 푸시업 Week!
41183,"가자, Bounce! ×4"
43400,
50100,네 모습 그대로 가 보자! (봉×3)
53433,전부 해방해 Body feel now (봉×3)
56750,네 모습 그대로 → 최고잖아?
59267,라라라 Right & Left
61417,and RUN for the RUN (Enjoy♪)
63266,
63267,네 모습 그대로 가 보자! (봉×3)
66783,전부 잊어버리고 Feel now (봉×3)
70100,네 모습 그대로 → 최강이잖아?
72600,라라라 Right & Left
74617,and RUN for the RUN
76183,
79867,"Speed, Power, Stamina"
81467,"Speed, Power, Stamina"
83050,"Speed, Power, Stamina"
84700,근성 지능
86266,
86267,"Speed, Power, Stamina"
87800,"Speed, Power, Stamina"
89350,"Speed, Power, Stamina"
90917,근성 지능
92466,
92467,스피드! 파워! 스태미나!!
93933,스피드! 파워! 스태미나!!
95433,스피드! 파워! 스태미나!!
96933,근성! 지능!!
98416,
98417,스피드! 파워! 스태미나!!
99933,스피드! 파워! 스태미나!!
101450,스피드! 파워! 스태미나!!
102933,근성! 지능!!
104499,
104500,스피드! 파워! 스태미나!!
105950,스피드! 파워! 스태미나!!
107450,스피드! 파워! 스태미나!!
108917,근성! 지능!!
110432,
110433,스피드! 파워! 스태미나!!
111933,스피드! 파워! 스태미나!!
113417,스피드! 파워! 스태미나!!
114933,근성! 지능~~~!!
117550,
