time,lyrics
0,
17880,최고의 때를 그저 바라기만 해선
23730,선망의 소용돌이 속에서 맞서겠다고 결심했어
29800,
29870,각오는 내려놓지 않아 리스크는 언제나
35820,아슬아슬할 때 힘이 되어줘
39120,그렇게 깨달은거야
41669,
41670,열정에 불타 올라 앞이 보이지 않을 때도
47980,꿈의 목소리에 이끌려 나는 가는 거야…
54300,
54680,누구보다 지금 힘차게 달려 나가면
58550,제일 앞에서 웃을 수 있어
61570,본능 스피드 뜨겁게 몸을 달궈
67729,
67730,이제 아무것도 두려워하지 마
70620,한계 같은 건 필요 없는거야
73630,가장 빠른 내가 되어
76620,못다 본 세계 넘어가자
82750,
95530,누구보다 지금 힘차게 달려 나가면
99300,제일 앞에서 웃을 수 있어
102320,본능 스피드 뜨겁게 몸을 달궈
108499,
108500,이제 아무것도 두려워하지 마
111470,한계 같은 건 필요 없는거야
114400,가장 빠른 내가 되어
117370,못다 본 세계 넘어가자
123430,
