time,lyrics
0,
12250,꿈을 이룰 그날까지
16433,달려 나가자!
18017,Beyond the future!
19217,Step into the land of victory!
21383,Three! Two! One! And more!
23700,Three! Two! One! Let's go!!
26033,
39617,언젠가 영광의 골로
43150,다가온 눈동자에 용기를 얻어서
48150,(언제나) 뒤쫓았던 꿈
50500,(살며시) 쌓아왔던 동경
53583,있잖아… 이렇게나 아름다워
57682,
57683,달리는 게 좋아!
59867,변치 않는 마음 (It's my wish)
62467,지더라도 좌절하더라도
65083,결코 사라지지 않는
67283,손을 뻗은 경치
70517,Two! One! Go!!
71882,
71883,태양이 반짝반짝! (Sunlight!)
75867,무지개 바람을 감싸 안으며
78583,물들어가는 마음
81067,춤추듯 피어나는 승리의 노래! (Dreamtide!)
85217,미소를 부르는 눈물은
87717,멋진 보물
90166,
90167,"자, 모두의 꿈을 품고"
94167,달려 나가자!
95750,Beyond the future!
96800,Step into the land of victory!
99300,
108433,태양이 반짝반짝! (Sunlight!)
112433,무지개 바람과 뒤섞이는
115033,축복의 성원
117700,춤추듯 피어나는 승리의 노래! (Dreamtide!)
121933,미소를 부르는 눈물이
124350,연주하는 「고마워」
126849,
126850,"자, 모두의 꿈을 품고"
130567,일본 최고가 될 그날까지
135533,달려 나가자!
136817,Beyond the future!
138167,Step into the land of victory!
140350,
145367,(다음 골로…!)
151800,Three! Two! One! And more!
154133,Three! Two! One! Let's go!!
157267,
