time,lyrics
0,
1425,꿈의 게이트를 열고 눈부신 빛을 향해서
6555,가자! 다 같이 GO TO THE TOP!!
13722,
20520,누구보다 빠르게 달리고 싶어
25250,하트가 가속해
29925,두근두근 거리고 ! 그렇게 만들고 !
34200,매일이 스페셜 레이스
38474,
38475,특별함을 보여주고 싶다면
43035,자신의 '나다움'을 내가 제일
47595,믿어줘야겠지
52440,(하나 둘! LET'S GO!)
54149,
54150,바람을 가르고 달려나가 이제 고동은 멈추지 않아
58995,우승 후보도 다크 호스도 너에게 일직선
63840,꿈과 희망과 꼬리에 걸고
68115,GET CHANCE 맹세할게 GO TO THE TOP!!
75240,
81225,꿈의 게이트를 열고 눈부신 빛을 향해서
86355,환호성과 땅울림과 빛나는 땀방울과
91485,사랑과 로망이 여기에 있어
95760,지켜보자! 함께 ENDLESS DREAM!!
100580,
100581,(푸른 하늘) 잔디의 냄새… 정말 좋아
109725,끝나지 않는 꿈과 함께 어디까지나
120840,
