time,lyrics
0,
6200,흔들어 1초라도 달렸다면 Summer girls
9950,꿈을 향해 가는 길은 스트레이트
13700,시선은 누구에게도 양보할 수 없어
16700,Please[COMMA] Gaze on Me!
18363,분명 시작될 Fantastic time
21132,
21133,(La la la la la la… 골은 Spot light)
24883,(La la la la la la… I'm the heroine)
28700,(La la la la la la… 너를 내게 줘)
31700,(Please[COMMA] Gaze on Me!)
33383,(분명 시작될 Fantastic time)
37367,
37783,모두 준비됐나요? Burning
41583,고개를 끄덕이면 아지랑이도 Heat up
45333,어쩜 저쩜 신나는 분위기
48617,"Let's go! 자, 태양도 불타올라 최고야"
52433,
52783,Mate 질 수 없어 흥분도 마음도
57750,밀당은 No no
60333,Gate 열리면 한순간의 드라마
65217,달려라 여름을 향해!
67717,
68067,흔들어 1초라도 달렸다면 Summer girls
71817,꿈을 향해 가는 길은 스트레이트
75567,시선은 누구에게도 양보할 수 없어
78567,Please[COMMA] Gaze on Me!
80250,분명 열광할 Fantastic time
83066,
83067,상관없어 어떤 나라도
84900,한여름을 달려 나간다면 Venus
87283,뜨거워지면 한걸음에 Change&happy
90983,너무나도 눈부신 오늘을
92883,"춤추듯 손에 넣자 (자, Here we go!)"
96083,비트는 멈추지 않아
99250,
105333,Keep 마음 가는 대로 몸을 맡기고
110250,작열하는 곳으로 Go go
112833,Warp 본능의 리듬을 울리며
117750,달려라 여름을 향해!
120450,
122450,흔들어 1초라도 달렸다면 Summer girls
126200,꿈을 향해 가는 길은 스트레이트
129950,시선은 누구에게도 양보할 수 없어
132933,Please[COMMA] Gaze on Me!
134633,분명 시작될 Fantastic time
137416,
137417,(La la la la la la… 골은 Spot light)
141217,(La la la la la la… I'm the heroine)
145033,(La la la la la la… 너를 내게 줘)
147933,(Please[COMMA] Gaze on Me!)
149633,(분명 시작될 Fantastic time)
153617,
