time,lyrics
0,
7383,열려라 오늘도 오늘도 빛나는 문
12717,승리도 패배도 다음을 향한 스타트 라인
17783,
20650,(Oh here we go! Oh let's go!)
26833,
27967,그 꿈에 닿지 못하면 꿈꾸지 않은 거나 마찬가지니까
33150,(Fight! Fight! 트・레・센! 네버 기브 업! Let's go!) ×2
37983,친구와 함께 Dash all day 「미소」와 「눈물」은 언제나 하나야
43117,(Fight! Fight! 트・레・센! 네버 기브 업! Let's go!)
45849,
45850,도전하는 마음 Brand-New STARTING FORCE (Oh!×3)
48300,흘러넘치는 Brand-New STARTING FORCE (Oh!×3)
50933,몇 번이고 다시 일어서 Together! Forever!
55867,"미지의 하늘, 이 프론티어 (Oh!×3)"
58233,꿈은 끝없이 펼쳐져 있어 (Oh!×3)
60717,그 다리로 힘껏 딛고
63533,가자 (가자)
65300,"고동치기 시작하는 심장, 반짝이는 나를 찾는 지평 (노려라!)"
72850,지금 바로 힘차게 가자! 새로운 시대로 GO!
78183,
78750,힘차게!
80400,폭도주 뛰쳐나가면 추격 중 뒤를 쫓아가
85300,전력과 전력이 부딪치는 눈동자
90767,계획대로 흘러가진 않을 거야 코너의 저편
97017,아직이야!
97933,"대역전을 노린다면, 호시탐탐 따라붙어"
102800,저마다의 자신을 뛰어넘는 거야! (그거야!)
108417,전설이 탄생한다 더 더 더 더 미래로!
113582,
113433,도전하는 마음 Brand-New STARTING FORCE (Oh!×3)
115733,흘러넘치는 Brand-New STARTING FORCE (Oh!×3)
118433,어디까지나 어디까지나
120767,달려! 달려! 달려! 달려!
125633,
