time,lyrics
0,
3083,너와 함께 꾼 꿈이 모두의 꿈이 될 거야
8067,
18300,너와의 만남이 스타트 라인 (준비 땅!)
22200,오른쪽인지 왼쪽인지 모르는 채로 그저 달렸었지
27333,올곧은 너의 마음을 의지하며 (파이팅!)
31283,매일 하루하루가 지금으로 이어졌어
36166,
36167,달리면 달릴수록 깨닫게 돼
40700,[목표]<골>까진 아직 멀고 부족한 게 많단 걸
45383,그래도 달리면 달릴수록 느껴져
50200,언제 어떤 [승부]<레이스>든 혼자가 아니란 걸
56650,
56933,꿈의 너머에는 또 꿈이 있어
61617,이루고 싶은 게 있을수록 [가능성]<게이트>은 열리는 법
66300,모두의 응원을 품고 [달려서]<한 걸음씩> 이루어 가자
71283,너의 목소리를 (힘으로 삼아서)
73617,너의 목소리가 (미래가 될 거야)
75967,모두와 꾸는 꿈은 한없이 이어져
80650,
92067,하늘을 바라보듯이 꿈을 꾸고 싶어
96750,바라는 것으로 시작되는 드라마가 있어
101433,바람을 일으키듯이 기적을 만들어 내자
106400,너의 희망 (품고 갈게)
108750,너에게 꿈을 (보여 줄게)
111083,움직이는 거야 마음을 세상을
116067,이 달리기로 전력을 다해서
119817,
120167,Dear DREAMERS...!!
121332,
121333,꿈의 너머에는 또 꿈이 있어
126017,이루고 싶은 게 있을수록 [가능성]<게이트>은 열리는 법
130650,모두의 응원을 품고 [달려서]<한 걸음씩> 이루어 가자
135667,너의 목소리를 (힘으로 삼아서)
138017,너의 목소리가 (미래가 될 거야)
140350,같은 꿈을 꾸자 앞으로도 계속
148667,
