time,lyrics
0,
13450,Let's go! start!! 달려 나가서
15770,지금 이 시대를
19300,"자, 반짝이자 더욱 더 끝없이"
26970,
34670,시작되는 예감 가슴 뛰는 예감을 믿고
40700,뛰기 시작하면 멈출 수 없어
44920,미래의 예상 당신과 함께라면
51080,어디까지라도 갈 수 있을 거 같아
55449,
55450,자신감이 없어서 나약해질 때에는
60520,그 날의 기분을 떠올려 봐
62920,다시 뜨거워진 마음을 믿고서,
67929,
67930,Let's go! start!! 달려 나가서 지금 이 시대를
73780,"자, 반짝이자 더욱 더 끝없이"
78530,모르겠어 (모르겠어) 알고 싶어 (알고 싶어) 이젠 포기하지 않아
83867,기대랑 꿈을 등에 지고서 (try again)
88780,Let's fly high 뛰어 나가자 똑바로 앞을 보고
94530,"자, 내디뎌 보자 첫 한 걸음"
99570,어떤 (때라도) 다들 (한 마음으로) 너를 기다려
104620,그 눈부신 꿈의 스테이지에서 물드는 Magic
112330,
