time,lyrics
0,
36567,달리고 달려서
39333,동경을 넘어서
42549,
42550,(Ready!! Steady!! Derby!!)
48367,
52733,한 번도 본 적 없는 스피드 너머로
58767,(준비 운동은 완벽해!)
60617,봐 봐 지구를 파고드는 편자
63750,결승선 앞의 기적 승부는 최종 코너
70050,이젠 한계까지 숨 가쁘게 달리고 싶어
74150,
74151,몇만인지도 모를 박수 치는 관객
76933,터질 듯 울려 퍼지는 커다란 함성
79499,
79433,팡파르가 울리고
81367,심장 소리가 날뛰고
84100,움직이기 시작하는 초침 꿈의 게이트가 열려
88632,
88633,「가자!」
89466,
89467,달리고 (그래!) 달려서 (그래!)
92100,동경을 앞질러
95133,다음엔 누구 차례?! 목표는 슈퍼스타
100017,살아가는 (그래!) 의미란 건 (그래!)
102650,뛰쳐나간 뒤에 따라오는 거야
106116,
106117,(이기고 싶어!) 그래 이건 본능
108433,(달리고 싶어!) 멈추지 않는 충동
111150,(외치고 싶어!) 승리의 함성이여 퍼져라!
117517,
