time,lyrics
0,
7983,그날 잃어버린 것
11633,그 아픔도 온도도
15333,주워 모았어 그리고 나아가기로 했어
22716,
22717,형태조차 갖지 못한 것
26283,상상조차 못할 정도로
30100,무모해 보였어 하지만 하지만
36566,
36567,I'll be alright
39316,
39317,Somewhere in your eyes
42117,그 속도를 지금
45800,Always in your heart
49533,분명 있으니까
51816,
51817,노래해 o.o.o
55983,To the gate o.o.o
65566,
65567,"3.2.1 ""Dance"""
67433,
72517,THE story of my own
75217,
79583,It’s the story of my own
81467,
86650,THE story of my own
88417,
93700,It’s the story of my own
97383,
100617,THE story of my own
103667,
107967,It’s the story of my own
113100,
