time,lyrics
0,
10814,(Wow Wow Wow Wow…)
15234,드디어 모두와 만났네!
20453,
20454,Don't stop! No[COMMA] don't stop'til finish!!
22554,(Wo oh oh)
25104,Don't stop! No[COMMA] don't stop'til finish!!
27264,(Wo oh oh)
29734,
32014,다그닥닥 전력으로 달리고파
33834,잔디와 모래와 너의 최종훈련 메뉴!
36554,Turn Up! (Turn Up!) 소리높여 외쳐 (Wo oh oh)
41264,트레센! 파이팅! (오!) 파이팅! (오!)
44313,
44314,다그닥닥 전력 질주 타임
46654,양보할 수 없는 꿈을 꾸고 있어 (Wow Wow)
49484,시작하자 지금부터 최고의 STORY (Wow Wow Wow)
54054,(o oh o oh… 오오오~~!)
58803,
58804,동경해 온 그곳으로 (용기를 조금 빌려서)
62954,이야기했던 MEMORY (두 번 다시 오지 않을 지금을)
67634,더는 두근거림도 설렘도
70704,막을 수 없어 못 참겠어
73064,뜨거운 달리기가 멈추지 않아!
78153,
78154,너와 앞다투어 달리며 골을 향해서 아득히 울려퍼져라 MUSIC
84824,"계속, 계속, 계속, 계속 생각해 꿈이 반드시 이루어진다면"
89564,그날 네가 느꼈던 무언가를 믿으며
94214,봄도 여름도 가을도 겨울도 넘어 간절한 염원으로 달려
98034,"Ah, 승리를 향해!"
100984,Don't stop! No[COMMA] don't stop'til finish!!
104900,
