time,lyrics
0,
10296,선택받은 이 길을
13728,한결같이 달려나가서
17160,정점에 서겠어 그렇게 정했어!
20592,온 힘을 다해 앞으로
27885,
53625,진정한 꿈이 있으니까
57057,아무것도 두렵지 않아
60060,이런 게 아니야
61776,진정한 나를 보여줄게
67352,
67353,일생에 한 번뿐인
70785,'지금'을 후회하고 싶지 않아
73788,유언실행 말을 꺼내니
77220,세계는 움직이기 시작했어
80651,
80652,가장 빠른 빛을
84084,이 손에 움켜쥐고
87516,새로운 시작을 뛰어넘어
92664,나아가자
97812,
101244,열정으로 울려 퍼지는
104676,두근거림이라는 팡파레
108108,품고 있다면 펼쳐 보이자
111540,목표하는 곳이 있으니까
114971,
114972,선택받은 이 길을
118404,한결같이 달려나가서
121836,정점에 서겠어 서고 말겠어!
124839,NEXT FRONTIER 바라보고
128700,온 힘을 다해 앞으로
135564,
