time,lyrics
0,
3750,다그닥 다그닥 폴짝 달려 나가자
6567,빠빠라빠빠~ 하나둘에 스타트
9217,역시나 대단해 커~다란 전설
11834,반드시 반드시 잔뜩 만들어 보자!
14250,
26317,봄은 동틀 무렵
27700,경단이 맛있을 무렵
29017,벚꽃길로 Dash!
31699,
31700,여름은 쨍쨍하고
33034,땀도 주룩주룩
34217,청춘이다!
35534,다시 한번 Dash!!
37049,
37050,가을에는 꽁치밥
38367,"군고구마, 밤밥…"
39700,먹은 만큼 Dash!!!
42366,
42367,겨울 추위에
43700,그리워 Sunny
44950,함박눈 속이라도
46367,꺾이지 않고 Dash!!!!
47649 ,
47650,계속 달리니 보이기 시작했어
50367,미래의 내 스마일
53034,장래 예보는 맑음 or 비?
56984,역시 반드시 맑길 바래
59784,푸른 하늘로 점프! (점프!)
63899,
63900,다그닥 다그닥 폴짝 달려 나가자
66667,빠빠라빠빠~ 하나둘에 스타트
69217,역시나 대단해 커~다란 전설
72000,반드시 반드시 잔뜩 만들어 보자!
74499,
74500,좋은 날씨 신이 나네 그러면 경주하자!
79984,하나둘에 일등상을 향해서!
82400,
93284,몇 번이든 몇 번이든 실패해서
96034,몇 번이든 몇 번이든 눈물 흘려도
98700,몇 번이든 몇 번이든 서로 격려하고
101367,몇 번이든 극복해 나가자
103934,몇 번이든지!
105399,
105400,다그닥 다그닥 폴짝 달려 나가자
108034,빠빠라빠빠~ 하나둘에 스타트
110734,역시나 대단해 커~다란 전설
113450,반드시 반드시 잔뜩 만들어 보자!
115949,
115950,좋은 날씨 신이 나네 그러면 경주하자!
121450,하나둘에 일등상을 향해서!
123949,
123934,달리자 노래하자
126667,내일도 맑을 거야! YES!
129282,
129283,달리고 노래해 노래하고 달려
132167,다그닥 닥닥 폴짝
133467,다그닥 닥닥 폴짝
134717,다그닥 닥닥 맑을 거야! 그렇지♪
137233,
