time,lyrics
0,
2767,우마! 우마! 서머~
4650,돌고 또 돌아라
6067,(우마마 서머 SO HIGH)
9017,여름 하늘에 닿아라 이 마음
12317,(우마마 서머 SO HIGH)
14267,누구보다도 훨씬 신나게↑
16333,신나게~~~!
18267,예이!×12
22800,우・마・서・머!
24167,예이!×8
27133,예이! 예이! 우・마・서・머! (하이야~!)
30299,
30300,찾아온 여름의 mission
31717,세상을 열광시킬 passion
33300,널리 퍼트리자 tension
34583,저 멀리까지!
36250,마음이 춤추는 session
37683,귀를 기울여 attention
39217,달아오르는 revolution
40617,어디까지든!
42183,Are you ready?
44967,일단 가는 거야 Put your hands up (hands up!)
47949,
47950,두근거리게 해 줄게
50350,완전 핫한 우리 우승감 아님?!
53433,
54333,전압 확 올리고
56600,자 자 기합 넣고!
58083,가보아요!
58783,신나게요!
59567,우마해요!
60667,
73417,PARA-PA-PA-RA-PA 톡톡 튀며
76733,PARA-PA-PA-RA-PA 타오르듯
79817,PARA-PA-PA-RA-PA 풀어 놓아
82850,용솟음치는 뜨거운 여름을!
86066,
86067,우마! 우마! 서머~
87917,돌고 또 돌아라
89316,
89317,돌리고 돌려서
90817,힘껏 부딪쳐
91983,우마~! 서머~!
94100,여기도 저기도 (HEY!) 더욱더 (HEY!)
97850,어질어질하게 만들 거야
100583,너와 돌리고 돌려서
102667,일으킨 토네이예이예이예이예이예~ (HEY!)
108117,분명 (HEY!)
109617,온 세상이 영원히 달아오를 거야~
112999,
113000,(우마마 서머 SO HIGH)
115717,여름 하늘에 닿아라 이 마음
119100,(우마마 서머 SO HIGH)
121300,누구보다도 더욱 즐겨라↑
123433,즐겨라~~~!
125400,
