time,lyrics
0,
13717,잊을 수 없어 네가 준 것
19483,다정함이 희망이
22333,나를 이끌어 주었어
27817,
28400,답하고 싶은 기대
31067,눈부신 미래가 기다리고 있으니까
34767,고민도 울분도
37600,힘으로 삼아 나아갈 거야
39633,이를 악물었던 어제도
42350,힘껏 포옹했던 오늘도
45183,"자, 전부 전부 다 끌어안고"
48100,달려 나갈 거야
51216,
51217,혼자가 아니니까
53783,벅차오른 말들이
56267,자꾸자꾸 끊이지 않으니까
59483,있는 대로 다 끌어안고서
62683,색색의 세계에서
64117,펼쳐진 세계에서
65550,끝없이 이어지는 다이어리
71300,
73050,이어져라 지금
77217,
79983,볼품없는 발자국이지만
82517,그래도 남을 거야
83933,지름길이 아니더라도
86800,아름다운 길이 아니더라도 상관없어
91267,남겨 온 흔적
94133,포기하지 않았단 흔적
96833,그 어떤 어둠 속에 있더라도
99517,
101983,on your side
107617,그래 나는
114200,
114783,네 곁에 있어
117032,
117033,혼자가 아니니까
119483,모아 둔 말들로는
121933,너무너무 부족하니까
125200,마음을 전부 쏟아부어서
128417,색색의 세계를
129833,펼쳐진 세계를
131267,선물할게 나의 스토리
138767,이어져라 지금
144367,이어 갈 테니까
151350,
