time,lyrics
0,
12767,WINnin' 5
13900,푸른 하늘 날듯이 달려 나가자
18733,자신(지금)을 넘어가!
21283,
30833,겹쳐 왔던 꿈 웃음빛 용기를 주었어
36317,그날 함께 본 경치에 미래를 비추어
41483,꺾일 것 같을 때 격려하고 지지해줬지
46633,그리고 맹세했어 절대로 지지 않겠다고
51283,
51800,강한 마음이 잇는 마음(하트)은 Team(하나)
56483,이 순간에 빛나라!
60733,
64383,WINnin' 5
65517,전원(다 함께)이 이루어 가자
69550,부딪치고 넘어지더라도
71633,달려라! 노려라! 환희의 승리(골)
74700,WINnin' 5
75833,혼자가 아니었으니까
79467,그래 강해질 수 있었어
81967,눈물의 인연 저기 고마워☆
85833,극적인 피날레!!!
87767,Yes! High-five!!
90667,
105667,WINnin' 5
106800,전원(다 함께)이 쟁취해 가자
110833,한계를 추월할 수  있어
112933,울려라! 닿아라! 동료(친구)의 성원(YELL)
116000,WINnin' 5
117117,긍지와 희망의 배턴
121000,자 기적은 계속돼
123250,무적의 우정 이미 최강☆
127117,극적인 피날레!!!
129067,Yes! High-five!!
131483,Yeah!! 훌륭한 피날레!!!
134217,최강 5!!
136533,
146317,(하나~둘!)WINnin' 5!!!
149683,
