time,lyrics
0000,
25667,눈앞에서 산산이 조각난 현실
31283,더듬어 찾은 하늘 흔들리며 떨어져 가
36300,세계는 -So BLACKNESS- 캄캄해서\n(새하얗게 무겁게 짓누르는 희망이었을 질량\n대지를 찬 반동으로 하늘을 붙들고 늘어지는 별이 되어라)
46800,
48117,변해가는 모든 것이 신기루
53750,희미한 반짝임 아득한 저편 바라보고 있어
59300,희망의 불꽃에 모래투성이의 내일이 배어들 때
64800,저려올 정도로 갈망하던 것
70150,
70583,헤매고 또 발버둥 치는 끝없는 미궁
80417,"아아, 놓칠 것 같아도 손을 뻗었어"
88066,
88067,어둠을 달려 나가는 눈부신 그 빛
92850,어째서 불타고 있나 억누를 수 없는 생명이 지금
99350,그저 외치고 있어 '살아있는 증표가 돼라'
104267,뜨거운 영혼을 끓게 하고 있어 그것뿐
109283,
109417,세계는 -So GLORY- 눈부셔서\n(새하얗게 무겁게 짓누르는 희망이었을 질량\n대지를 찬 반동으로 하늘을 붙들고 늘어지는 별이 되어라)
120017,
