time,lyrics
0,
17317,기대에 응하고 싶어서
19483,소원을 이루고 싶어서
22017,노력하고 (고민해서)
24633,성과를 내는 거야 (하지만)
26800,더욱 더욱 더욱 커지는 마음을
31733,(속일 수 없어)
33083,너와 알게 된 진검승부는
36366,
36367,세상이 (느려지고)
39167,고동이 (빨라지고)
41967,뚫고 나가는 순간
43950,몇 번 몇 번 몇 번 몇 번 몇 번이라도
48833,(즐거워서 Smile!)
50032,
50033,전진할 뿐이야 마음 가는 대로
55433,(Start dash)
56200,마지막까지 달려 나가 포기하지 않아
60500,그리고 언젠가의 나 자신을 넘을 때
65217,(Spurt dash)
65983,닿아라 (쥐어짜서)
68300,닿아라 (생각해 내)
71200,너와 함께 미래를 그리는 일직선이야
76400,승리의 너머로 Overrun!
82400,
84517,발산해 내라 True power
87833,
94300,전력을 다해 Go!
95933,
99967,(왜냐면)
100617,이겨도 져도
102417,(왜냐면)
103017,웃고 싶으니까
105117,달려 달려 달려 달려 너와……
112332,
112333,전진할 뿐이야 마음이 외치니까
117883,(Start dash)
118867,마지막까지 달려 나가 포기하지 않아
122933,그리고 언젠가의 나 자신을 넘을 거야
127667,(Spurt dash)
128433,닿아라 (쥐어짜서)
130817,닿아라 (생각해 내)
133650,너와 함께 미래를 그리는 일직선이야 (자)
138600,승리의 너머로 Overrun!
144867,
