time,lyrics
0,
3200,"자, 다들 시작한다~\n「벌써?!」 (후~~)"
5633,원 투 셋 시작\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~)
8416,
8417,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 마~\n(오~~~ 츄츄~)
11567,우~마~ 우~마~ 숨을 못 쉬겠어!\n(폐가 텅텅 숨이 턱턱~)
14467,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 마~\n(오~~~ 츄츄~)
17433,우~마 우마 우마 어라? 소리가 안 나~~!\n(음향팀 출동!)
21682,
21683,즐겁고 신나게 두두둥~\n(어기여차)
24633,하늘하늘 나풀나풀 흩날리는 유카타
27383,머리도 묶고 허리띠 매고 꽈아악~~\n(디여차)
30433,축제는 이제 막 시작됐을 뿐이야!
33200,다 됐니!\n(아직이야!) 「어이쿠~」
36233,다 됐니!\n「아직!」 (다 됐어!) 「영차~」
39182,
39183,닿아라 닿아라 마음이여 닿아라\n(얼쑤~!)
41750,쫓아가면 도망치며 빙글빙글 도는구나\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
44700,영차~ 목표는 정점\n(훗후~)
46583,목표는 압승\n(훗후~)
48200,걱정은 넣어 두시라~
52732,
52733,말이야 쉽지~~
53367,어어어어어쩔 건데 어~쩔 셈인데??\n(레츠 고!!)
56549,
56550,흥청망청 왁자지껄
57733,어기여차~ 어기여차~
59317,춤춰라 흥겹게 춤춰라~~~!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
61716,
61717,"자, 흥청망청 왁자지껄"
63633,어기여차~ 어기여차~
65133,트레센 타령으로 얼씨구 좋다!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
67882,
67883,흥청망청 왁자지껄
69383,어기여차~ 어기여차~\n(오~~~ 츄츄~!!)
70950,춤춰라 흥겹게 춤춰라~~~!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
73316,
73317,"자, 흥청망청 왁자지껄"
75317,어기여차~ 어기여차~\n(오~~~ 츄츄~!!)
76633,트레센 타령으로
78017,얼씨구 좋다 얼씨구 좋다 얼씨구 좋다 좋아!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
81116,
81117,아~ 너무 노래했더니 숨이 차!\n(후~~!)
83917,산소! 산소! 산소를 가져와~!!\n(빨리 와~!)
86766,
86767,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 마~\n(오~~~ 츄츄~)
89867,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 히얏~\n(내일! 내일! 오~~~ 팝핑야!!)
92733,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 마~\n(멈추지 않아… 멈추질 않는다카이! 츄츄~!!)
95400,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 히얏~\n(마구마구~ 의욕이 샘솟는다~~ 진짜!!)
98383,우~마~ 마~ 마~ 마~ 마~ 마~ 마~ 마~\n(오~~~ 츄츄~)
101450,우~마 우마 우마 어라? 아무도 안 부르잖아~~\n(더는 못 해~!!)
105350,
105617,아아아아・・・
107133,오 늘 밤 별 이 참 반짝반짝…
110033,…같은 소리 할 때가 아니잖아~~!!\n(후~~~!!)
111550,어어어어어쩔 건데 어~쩔 건데??\n(레츠 고!!)
114449,
114450,흥청망청 왁자지껄
116017,어기여차~ 어기여차~
117617,춤춰라 흥겹게 춤춰라~~~!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
120016,
120017,"자, 흥청망청 왁자지껄"
121750,어기여차~ 어기여차~
123317,트레센 타령으로 얼씨구 좋다!!\n(얼씨구~ 절씨구~ 얼씨구~ 절씨구~!?)
126082,
126083,흥청망청 왁자지껄
127667,어기여차~ 어기여차~\n(오~~~ 츄츄~!!)
129250,춤춰라 흥겹게 춤춰라~~~!!\n(얼쑤~ 절쑤~ 얼쑤~ 절쑤~~!!)
131616,
131617,"자, 흥청망청 왁자지껄"
133433,어기여차~ 어기여차~\n(오~~~ 츄츄~!!)
135000,트레센 타령으로
136100,얼씨구 좋다 얼씨구 좋다 얼씨구 좋다 좋아!!\n(오~~~ 츄츄~!!)
141417,
