time,lyrics
0,
3400,너무 맛있어서 살살 녹아
6333,오늘도 맛있는 음식 감사합니다
10749,
10750,손을 모아 「잘 먹겠습니다~!!」
12450,
19600,배고프기만 해선 재미없지
21383,맛있는 채소를 기르자
23117,단맛 쓴맛 다 보며 전력 수확이에요!
26716,
26717,안 먹어보고 싫어하긴 아깝지
28450,다 같이 시끌벅적 Let's Cooking!
30250,"열정 듬뿍 풀 코스로 자, 준비 OK"
33849,
33850,식탁에 둘러 앉으면 행복이 퍼져가
40267,건배하자!
40932,
40933,너무 맛있어서 살살 녹아
44033,마음이 두근두근 와~~ 하고 떠들어대
47517,솟아오르는 에너지를 느끼면
51117,오늘을 전력으로 달려 나갈 거야
56367,
69800,일생은 기한이 있어
73083,아쉬움의 눈물도 향신료야
76900,힘든 도전을 미루는 건 No No야!
82217,전부 맛있게 먹어버리자
86933,
87650,"일식, 중식, 이탈리안?"
90500,오늘은 뭐로 할까
94083,「건배~!!」
94732,
94733,너무 맛있어서 살살 녹아
97767,마음이 두근두근 와~~ 하고 떠들어대
101400,솟아오르는 에너지를 느끼면
104883,오늘을 전력으로 달려 나갈 거야
111817,오늘도 맛있는 음식 감사합니다
117633,
132450,「잘 먹었습니다!!」
133550,
