time,lyrics
0,
10814,(Wow Wow Wow Wow…)
15234,드디어 모두와 만났네!
20453,
20454,Don't stop! No[COMMA] don't stop'til finish!!
22554,(Wo oh oh)
25104,Don't stop! No[COMMA] don't stop'til finish!!
27264,(Wo oh oh)
29734,
32014,다그닥닥 전력으로 달리고파
33834,잔디와 모래와 너의 최종훈련 메뉴!
36554,Turn Up! (Turn Up!) 소리높여 외쳐 (Wo oh oh)
41264,트레센! 파이팅! (오!) 파이팅! (오!)
44313,
44314,다그닥닥 전력 질주 타임
46654,양보할 수 없는 꿈을 꾸고 있어 (Wow Wow)
49484,시작하자 지금부터 최고의 STORY (Wow Wow Wow)
54054,(o oh o oh… 오오오~~!)
58803,
58804,동경해 온 그곳으로 (용기를 조금 빌려서)
62954,이야기했던 MEMORY (두 번 다시 오지 않을 지금을)
67634,더는 두근거림도 설렘도
70704,참을 수 없어 못 견디겠어
73064,뜨거운 초조함이 멈추지 않아!
78153,
78154,너와 앞다투어 달린 골을 향해서 아득히 울려퍼져라 MUSIC
84824,"계속, 계속, 계속, 계속 생각해 꿈이 반드시 이루어진다면"
89564,그날 네가 느꼈던 무언가를 믿으며
94214,봄도 여름도 가을도 겨울도 넘어 간절한 염원으로 달려라
98034,"Ah, 승리를 향해!"
101283,
101284,흔들림 없는 각오를 다지고
103514,하나 둘 함께 써나가는 기록
105804,등 뒤로 다가오는 망설임 떨쳐내
108294,지금의 나를 앞지를 뿐
110614,이기고 싶어 이기고 싶어 이기고 싶어 너와 함께 이기고 싶어!
115404,
138754,미래를 그려 골을 향해서 노려라 도전해 붙잡아 WINNING
143434,"계속, 계속, 계속, 계속 생각해 꿈은 반드시 이루어지니까"
148184,그날 네가 흘린 눈물도 믿으며
152784,봄도 여름도 가을도 겨울도 넘어 비도 바람도 넘어 구름도 어둠도 넘어 승리를 향해!
161283,
161254,너와 앞다투어 달린 골을 향해서 아득히 울려퍼져라 MUSIC
168014,"계속, 계속, 계속, 계속 생각해 꿈이 반드시 이루어진다면"
172664,그날 네가 느꼈던 무언가를 믿으며
177384,봄도 여름도 가을도 겨울도 넘어 간절한 염원으로 달려라
181204,"Ah, 승리를 향해!"
184414,Don't stop! No[COMMA] don't stop'til finish!!
188330,
