time,lyrics
0,
3033,「나의 전력을 받아 줘♡」
6432,
6433,콩 콩 라탓츄라 마니 마니
9633,콩 콩 라탓츄라 조~아 조~아 조~조아해
12833,콩 콩 라탓츄라 마니 마니 oh yeah
15833,콩 콩 콩닥하고~?
17633,「콩닥콩♡」
18532,
18533,만약에
19133,타임 루프 같은 걸 하더라도
20783,내 운명의 상대는 바로 너야 (예~이예이 예~이)
24933,나랑 진짜로 정말로 아니 절대로!
26933,신데렐라 구두처럼 딱 맞는 건 바로 너야 (오오~ 오~)
31332,
31333,내가 계속 지고 풀 죽더라도
33533,기죽지 않고 함께 특훈하고
35133,의욕 올릴 대로 쭉쭉 올려 주고
36433,"(진짜 뭐야, 뭐야뭐야뭐냐구!?)"
38133,스텝 업도 완~전 하고
40033,이기고 함께 기뻐하고
41633,(으~ …고맙다고 해도 해도 부족하잖아~~!!)
44682,
44683,말로만 하는 건 넌센스
48017,마음도 주는 게 베스트
51350,그게 그러니까… 그게 뭐냐면 말이에요…
55000,"「앗! 잠깐, 잠깐만요」"
56317,「지금 이 자리에서 전하고 싶어요!」
57833,평범하지만 전하고 싶은 이 마음
61066,
61067,「이렇게나 쑥쑥 자랐답니다♡」
63882,
63883,그러니
64317,완전 many-many한 약속 우다다 플리즈♡
67517,잔뜩잔뜩 many 마니 돌려줄 테니까!
70200,언제나
70800,조~아 조~아 조~아해 Joyful한 부탁 들어줘!
74250,너와 만나고 싶어~♡
76683,Day by day
77283,완전 many-many 꾹~ 꾹꾹 눌러 담은 응원 플리즈~♡
80533,절대 절대로 몇 배로 돌려줄 테니까!
83983,다 전하려면 몇 년이나 걸릴까
86800,너무 헤비하지 않아!? 그래도 괜찮지 않아??
88433,Gimme!! 언제나 사랑해 줘서 고・마・워
93567,
103150,어리광만 부리면 안 되겠지만
106783,오늘만큼은 받아 줘… hum
110467,중요한 이야기니까 조금만 더~~~~~~
115283,(용기만 낸다고 말할 수 있을까)
116650,제 진심을 들어 주실래요?
119933,Ah~~ (워~~!)
121832,
121833,그・러・니
123183,완전 many-many한 약속 우다다 플리즈♡
126217,잔뜩잔뜩 many 마니 돌려줄 테니까!
129033,언제나
129667,조~아 조~아 조~아해 Joyful한 부탁 들어줘!
133117,너와 만나고 싶어~♡
135533,Day by day
136150,완전 many-many 꾹~ 꾹꾹 눌러 담은 응원 플리즈~♡
139333,절대 절대로 몇 배로 돌려줄 테니까!
142717,다 전하는 데 몇 년이나 걸리더라도
145550,말하고 싶잖아! 전하고 싶잖아!
147233,Gimme!! 언제나 사랑해 줘서 고・마・워
150117,「콩닥콩♡」
150916,
150917,콩 콩 라탓츄라 마니 마니 oh yeah
153917,콩 콩 콩닥하고~?
155517,(콩 콩 콩닥하고~?)
157117,콩 닥 콩 닥 콩 닥!
158716,
158717,「쭈~~~욱 잘 부탁해♡」
160150,
