time,lyrics
0,
7883,질주해! 미래 속으로 새롭게 부는 바람처럼 지금
18567,이 가속으로 (한계를 뿌리쳐)
23550,"꿈이 있는 곳, 그 저편"
26717,Keep on trying…
28850,신세계 -시작-으로
31483,
34583,분명 좀 더 자유로워질 수 있을 거야
39900,그건 예감이 아니라 My faith
45117,Get Ready! 지평선을 바라봤다면 망설임은 없어 뛰어들 뿐
54717,
56117,(Blasting!) 이게 끝이 아니잖아?
58883,(Jumping!) 길은 끝없이 펼쳐져 있어
61583,"(Fighting!) 봐, 유혹하고 있잖아"
64417,우리만이… 개척할 수 있는 길이
70733,
71633,질주해! 미래 속으로 새롭게 부는 바람처럼 지금
82433,포효하며 도달하고 싶어
87700,열리지 않은 골 I'll be a real winner!
92767,끝없는 마음은 질풍처럼 어떤 날이라도 사라지지 않아 BLOW my GALE
103650,왜냐면 네가 (알려줬으니까)
108583,꿈을 꾸는 것 이루는 것
111500,Keep on trying…
113717,"신세계 -시작-으로 자, 도전해!"
122500,
