time,lyrics
0,
13980,매일 Down과 Up 교과서에 없는 답 찾기
20920,모두와 한 걸음씩
25980,그건 언젠가 힘차게 밟을 Start와 조금 닮았어
32920,열과 간직한 마음
38169,
38170,두근 진심 느끼고
40800,힐끗 본 옆모습
44680,멈추지 마 Friends
46800,질 것 같지 않은 마음을 갖고 싶으니까!
53169,
53170,Yes! 동경했던 꿈에 지금
56550,누구보다 앞으로 한결같이 Dash
59920,눈 깜빡일 틈도 없는 순간이 왔어 
65360,청춘이란 실감이 없는 오늘이지만
69800,And More Get Over!
72480,달려 나갈 거야
74550,눈물 반짝이며 내일이 되어라!
79950,
92550,동경했던 꿈에 지금
95550,누구보다 앞으로 한결같이 Dash
99080,"눈 깜빡일 틈도 없는 순간을, 새기고~~~"
105520,Yes! 청춘이란 이런 거였어? 알 것 같아
110300,And More Get Over!
113170,우리들의 눈물 반짝이며 내일이 되어라!
119871,
