time,lyrics
0,
1317,(One! Two! Three! Four!)
2682,
2683,Shake Shake Now~! Shake Shake Now~!
3883,지구 뒤까지 Shake Shake Now~!
5300,Shake Shake Now~! Shake Shake Now~!
6767,은하 끝까지 Shake Shake Now~!
8250,Shake Shake Now~! Shake Shake Now~!
9567,주말은 쉬고 Shake Shake Now~!
10967,Shake Shake Now~! Shake Shake Now~!
12667,모두 다 함께 Shake Shake Now~!
13833,Yeah!!
15533,
18850,한 번 더!
19567,Ray! Ray! Ray! Ray!
22317,어~~~~!
23899,
23900,어섭쇼~!
25117,너무나 멋진 전갱이 (전갱이~!)
26983,패뷸러스한 향기가 나지 (나지~?)
28800,스케줄 캔슬하자 모조리
30083,너네 집에서 구워 먹어도 오케이?
31717,(안 되지~!)
32366,
32367,오늘 아침 갓 잡은 꽁치네 (꽁치네!)
34250,고귀한 생명에 감사해 (감사해!)
36083,생선 무한 리필이라대~! 대! 대!
38300,대길이다앗~~~!!
39416,
39417,베리베리 나이스한 이 TUNA
41450,맛이 참 베~리베리 별미구나 (구나?)
44183,그런데 슬슬 참치도 못 참지
46850,간장~! (치고~!)
48317,와사비~! (빼고~!)
49717,드시고 가시나요?
51833,테이크 오~~프!!
52882,
52883,샤이닝한 여행길에
54217,셰이킹한 Body에
55550,멋진 파티네! Oh Yeah!
58050,엎어져도 뭐 어때!
59433,미끌해도 뭐 어때!
60750,맛있는 밥 잔뜩 먹으면
62332,
62333,해피! (해피!)
62950,해피! (해피!)
63332,
63333,샤이닝한 여행길에
64883,셰이킹한 Body에
66200,뭔 소린지 모르겠지! Yeah!
68550,하지만 웃는 너에게 복이 오나니
71533,(복어 왔네! 복어 왔어!)
72650,연어 업스트림!!
75716,
75667,디스 인생
76883,그것은 거센 물살을 거슬러 오르는 새먼 런!
79398,힘들고 험난한 이 롱 리버를 오르면
81765,눈부시게 브릴리언트!
83700,새로운 너와 만나게 될 거야!!
86733,
