time,lyrics
0,
10750,깨워라 본능을
12483,불러라 감동을
14233,새겨라 전설을
15750,외쳐라 Break Out!!
17450,
19350,(Wo-o-o Wo-o-o)
21217,
22383,(Break Break Break Out!!)
24367,
26117,(Wo-o-o Wo-o-o)
27667,
29233,(Break Break Break Out!!)
30849,
30850,멀어져 가는 발소리가 분하지 않나?
34033,녹슬어 가는 무대를 앞에 두고 주저만 할 텐가?
37467,저항하고 개척해서 다시 보게 만들 차례야
40767,"눈을 떼지 마, 역사를 갈아 치울 테니까"
44532,
44533,점점 점점 점점 달아올라
48050,환호성을 일으키는 데드 히트
51200,점점 점점 점점 다가와
54517,눈앞에서… 맞서는 심퍼시
57649,
57650,(Fight on!!) 맞서고 싶어
59200,(Fight on!!) 붙잡고 싶어
61033,(Fight on!!) 새기고 싶어
62650,(Fight on!!) 전하고 싶어
64417,혁명을 시작해
67217,전설의 깃발을 내걸고 나아가자
70099,
70600,자
71083,Legend-Changer
72450,록하게 뛰어들어
73950,열광을 일으킬 주인공이 되어라
77633,Legend-Changer
79100,대담하게 가보자고
80283,"본능을 깨워, 감동을 불러, 전설을 새겨"
85783,대지를 박차고 박차고 박차 Break!!
87650,
100600,무수한 발자국에 비치는 영관을
104250,동경하는 걸로 끝내지 마
107617,맡겨진 꿈들이 밀어닥치듯
110617,이제 나의 투지로 변해 가
117282,
117283,자
117700,Legend-Changer
119133,록하게 뛰어들어
120750,열광을 일으킬 주인공이 되어라
124233,Legend-Changer
125833,대담하게 가보자고
127450,"본능을 깨워, 감동을 불러, 전설을 새겨"
132667,대지를 박차고 박차고 박차 Break!!
134533,
136150,(Wo-o-o Wo-o-o)
137683,
139067,(Break Break Break Out!!)
141150,
