time,lyrics
0,
2317,몇 번이고 몇 번이고 계속 달려갈 거야
8867,Wake up 초신성
10533,Shift up 기어 올리고
12100,Speed up 하트 2배속
13350,U.M.A. 뉴 월드!
15117,Jump up 정상으로
16683,Turn up 한목소리로
18250,Dream up 미래를 이어서
19517,U.M.A. 뉴 월드!
21066,
21067,최상의 컨디션 기세팍팍 나아가
24550,영광의 챔피언 호시탐탐 노리자
27233,하이 페이스에 마이 페이스
28600,정신 차리고 레이스에 초집중!
30150,"세이브는 한계, 하트 임계"
32033,U.M.A. 레츠 고!
33766,
33767,최고조 Ambition 세계를 건 대승부
36800,절호의 기회를 온 힘을 다해 붙잡자
39800,하이 페이스를 넘은 하이 페이스
41232,정신 차리고 레이스에 맹진중!
42783,"마음은 무조건, 승리하자 "
46300,
47950,친구와 둘이 겨루던 바람 속에서도
50933,커다란 뒷모습을 쫓았던 빗속에서도
53850,몇백 몇천 번 쌓아 왔어
56700,그러니 아득히 멀리
58833,아득히 높이
60217,누구보다도 빠르게
61750,누구보다도 강하게
63583,
64257,"자, 지금"
66233,달리기 시작한 마음은 더는 멈추지 않아
69400,누구에게도 양보할 수 없는 결승선까지
72100,약한 마음 떨쳐 내고 몇 번이든 계속
75700,일어나서 달려 나가
78733,뛰기 시작한 고동은 멈추지 않아
81550,마지막까지 전심전력을 다해서
84867,정점으로 손을 뻗어
86350,한계마저 뛰어넘어
87833,전설조차 앞지르고
89400,승리로
90749,
90750,친구와 둘이 겨루던 그 기쁨도
93600,커다란 뒷모습을 쫓았던 그 동경도
96550,몇천 몇만 번 다시 태어나도
99350,몇 번이고 몇 번이고 계속 달려갈 거야
105717,달리기 시작한 마음은 더는 멈추지 않아
108883,모두가 꿈꾸는 미래까지
112033,용기도 결의도 사랑도 추억도 계속
114900,전부 이어 나가라
119900,
120567,"자, 지금"
123099,
123100,뛰기 시작한 고동은 멈추지 않아
125733,마지막까지 전심전력을 다해서
129267,정점으로 손을 뻗고
130700,한계마저 뛰어넘어
132333,전설조차 앞지르고
133700,승리로
135132,
135133,친구와 둘이 겨루던 그 기쁨도
138033,커다란 뒷모습을 쫓았던 그 동경도
141000,몇천 몇만 번 다시 태어나도
143667,몇 번이고 몇 번이고 계속 달려갈 거야
150700,
