time,lyrics
0,
8200,달려 나간 눈동자가 노리는 건
12450,한 번뿐인 'Glorious 1 - One - Moment'
16267,승리해야만 붙잡을 수 있는 기적
20117,
30017,같은 시간을 수놓아 가는 빛들이 나를 보고 있으니까
34900,한계 따윈 정할 수 없어 운명이 라이벌
38799,
38800,Believe 'dream' 동경은 이미 도전이 됐어
43600,Believe 'pride' 무대에 선다는 강한 감정
48467,Believe 'Yell' 답하고 싶은 마음도 끌어안고
53450,지금 미래를 향해 게이트가 열려 레이스가 시작되려 해
61466,
61467,"일제히, 잔디에 부는 바람으로 변하는 가슴속 뜨거운 마음은"
67917,누구에게도 양보하지 않을 테니까
71900,달려 나가는 속도는 우리의 외침이야
77500,경쟁할수록 울려 퍼져 (Running to the top!)
81750,영광이라는 골을 향해 가는 Destinies! (Glorious Moment!)
86416,
86417,"그래, 단 한 번뿐, 단 한 번뿐인 기적"
91100,
93650,달려라! 달려라!
98717,(Running to the top! Running to the top!)
102017,
103533,달려라! 달려라!
108567,(Running to the top! Glorious 1 - One - Moment!)
113367,
