time,lyrics
0,
27817,항상 알고 있었어
29617,고동은 팡파르라는 걸
32033,"자, 서둘러 (또 새로운) 운명 - 루트 - 바라보며"
37566,
37567,무작정 완주한 여정의 그다음
42167,그래 Brand new world (아직 잠들어 있어)
44617,오늘로 내디디자
47167,
47817,시작한 날에
51433,맹세한 마음
53967,마음속 Live
56283,찬스는 (기다리기 싫어)
59067,정열의 스피드를 올릴게
63399,
63400,가자!
64300,꿈으로 여는 세계 그 너머로
68433,어떤 지평선이라도 넘어서자 일제히 Spurt
73917,너와 찾아낸 한순간을 달려 나가
78133,또 다음 Future gate 준비는 됐어?
83616,
83617,희망과 함께 달려라 매일이 Runway
86300,(Go! Go! 어디까지라도 Go!)
88300,DRAMATIC JOURNEY
90500,노려라 반짝임을!
93882,
93400,예상 못 한 일은 일어나기 마련
98300,하지만 그래도 괜찮아
103050,한계를 뿌리치고
105700,미래 - 골 - 을 향해
107367,달리고 달려서 가장 좋아하는 자신으로
115517,
116917,가자!
117817,꿈으로 여는 세계 그 너머로
121767,어떤 지평선이라도 넘어서자 일제히 Spurt
127267,너와 만난 기적을 응원 삼아
131767,또 다음 Future gate 준비는 됐어?
137066,
136967,희망과 함께 달려라 매일이 Runway
139467,(Go! Go! 어디까지라도 Go!)
141600,DRAMATIC JOURNEY
143833,노려라 반짝임을!
150600,환호성을!
153000,
